Epoch,Train_Loss,Val_Loss,mAP_50,mAP_50_95,Epoch_Time_s
1,55.9717,56.9798,0.0023,0.0005,1606.77
2,14.8201,39.1657,0.2524,0.0895,1522.01
3,13.4488,53.1523,0.2848,0.0947,1504.98
4,12.8968,24.7538,0.388,0.1402,1492.77
5,12.4829,22.3202,0.504,0.2043,1483.27
6,12.4114,41.0111,0.333,0.1051,1526.51
7,11.8853,14.4403,0.73,0.3171,1445.94
8,11.7968,18.0659,0.6264,0.2797,1435.02
9,11.5364,12.3401,0.7272,0.3378,1441.37
10,11.4509,11.6666,0.725,0.3391,1436.88
11,11.3831,11.6623,0.701,0.3114,1431.93
12,11.263,11.6042,0.7028,0.2983,1453.28
13,11.2816,11.9439,0.7158,0.3119,1448.67
14,11.1224,10.9945,0.7586,0.3441,1398.32
15,10.9987,12.2479,0.7638,0.3318,1398.85
16,10.988,12.016,0.721,0.305,1339.88
17,11.0506,10.5828,0.8153,0.3858,1333.21
18,10.8346,10.2921,0.8479,0.4296,1334.21
19,10.8811,13.0176,0.7134,0.2972,1386.65
20,10.7825,11.1902,0.795,0.3658,1327.73
21,10.705,10.6381,0.7973,0.3472,1348.66
22,10.7227,10.8608,0.7608,0.3501,1309.44
23,10.2356,11.9226,0.7711,0.362,1354.66
24,10.1742,9.643,0.8245,0.3923,1346.31
25,10.2278,13.0339,0.7079,0.2752,1378.74
26,10.1213,9.9585,0.8266,0.3728,1325.44
27,10.0766,10.264,0.7862,0.3519,1349.98
28,9.985,10.0523,0.8293,0.3917,1314.14
29,9.9494,11.3926,0.7459,0.3103,1337.33
30,9.9244,9.6194,0.8523,0.3942,1337.12
31,9.87,9.9803,0.8422,0.393,1379.33
32,9.8663,11.2602,0.8101,0.3724,1410.83
33,9.8141,10.7605,0.7971,0.3772,1319.16
34,9.772,9.5706,0.8378,0.3944,1409.17
35,9.7601,9.0105,0.8682,0.4137,1379.59
36,9.6888,9.6071,0.8608,0.4345,1339.81
37,9.7337,9.5179,0.8605,0.4297,1351.02
38,9.6621,8.8754,0.8884,0.4408,1354.53
39,9.6076,9.6537,0.8493,0.399,1366.44
40,9.5395,8.9519,0.8709,0.4348,1332.73
41,9.5378,9.1075,0.8645,0.4375,1339.52
42,9.5447,8.6034,0.8892,0.4704,1316.98
43,9.5281,8.7938,0.884,0.448,1344.76
44,9.4606,8.836,0.8828,0.4514,1347.06
45,9.4266,8.7797,0.8828,0.4587,1345.83
46,9.3893,8.8066,0.8868,0.4598,1343.34
47,9.3325,9.2398,0.8596,0.4215,1335.49
48,9.3465,8.8148,0.8895,0.4518,1323.23
49,9.35,8.8476,0.8865,0.4642,1329.47
50,9.2873,9.3198,0.8746,0.4504,1324.54
51,9.314,8.6488,0.8934,0.4625,1324.09
52,9.1995,8.6878,0.8865,0.4549,1354.7
53,9.162,8.4703,0.8978,0.4588,1336.07
54,9.0557,8.6112,0.8958,0.472,1310.37
55,9.0823,8.529,0.8985,0.4676,1330.41
56,9.0231,8.6911,0.89,0.4573,1307.15
57,8.9962,8.8681,0.8787,0.4513,1338.7
58,9.0108,8.4639,0.8916,0.4654,1311.97
59,9.0124,8.4942,0.9007,0.4594,1307.28
60,8.9569,8.7705,0.8868,0.4615,1331.42
61,8.9374,8.3061,0.9052,0.4689,1315.02
62,8.8746,8.6392,0.886,0.446,1528.29
63,8.8913,8.6741,0.8876,0.4493,1347.43
64,8.839,8.4237,0.8903,0.4473,1341.47
65,8.8221,8.6859,0.882,0.4396,1348.78
66,8.8258,8.666,0.886,0.4479,1348.98
67,8.8765,8.4471,0.8935,0.4587,1348.22
68,8.7898,8.5956,0.8845,0.4303,1368.28
69,8.7669,8.4463,0.8991,0.4646,1349.62
70,8.7051,8.3636,0.9014,0.4691,1320.76
71,8.7684,8.265,0.9048,0.4755,1335.94
72,8.8157,8.6777,0.8798,0.4297,1348.55
73,8.7171,8.4405,0.8965,0.4615,1350.21
74,8.7445,8.2997,0.9044,0.4691,1348.64
75,8.6768,8.3937,0.9007,0.4592,1351.32
76,8.6729,8.3404,0.906,0.4749,1352.04
77,8.7147,8.206,0.9075,0.4896,1382.44
78,8.6873,8.3144,0.9028,0.4705,1293.76
79,8.6257,8.2641,0.9072,0.4844,1298.97
80,8.6206,8.2263,0.9076,0.4818,1299.62
81,8.611,8.2055,0.9066,0.4811,1306.56
82,8.5904,8.3568,0.904,0.4802,1289.49
83,8.5997,8.2437,0.907,0.4838,1287.61
84,8.5979,8.268,0.9071,0.4862,1288.91
85,8.5576,8.2378,0.9119,0.4898,1290.93
86,8.5538,8.2183,0.9062,0.4871,1293.38
87,8.5773,8.1515,0.9136,0.4952,1295.38
88,8.5754,8.1129,0.9139,0.4962,1295.02
89,8.5611,8.1689,0.9137,0.4928,1298.19
90,8.5086,8.1331,0.9136,0.4961,1296.39
91,8.5001,8.1352,0.9141,0.494,1295.17
92,8.5791,8.1529,0.9094,0.4913,1347.88
93,8.4479,8.1676,0.9095,0.4904,1330.47
94,8.4804,8.1419,0.9097,0.4909,1293.98
95,8.4586,8.1338,0.9101,0.4913,1327.68
96,8.4982,8.1368,0.9099,0.4913,1333.61
97,8.5073,8.1279,0.9102,0.4911,1298.97
98,8.4741,8.1276,0.9101,0.4905,1295.93
99,8.5003,8.1246,0.9104,0.4913,1301.54
100,8.4626,8.1299,0.9102,0.4915,1296.83
