Epoch,Train_Loss,Val_Loss,mAP_50,mAP_50_95,Epoch_Time_s
1,20.2195,20.7209,0.0,0.0,1543.66
2,11.4652,8.7532,0.0058,0.0019,1499.93
3,8.8377,7.7066,0.0578,0.0143,1474.31
4,7.8784,6.531,0.1904,0.055,1466.94
5,7.3517,6.6315,0.196,0.0592,1475.69
6,7.0275,6.4989,0.1553,0.0446,1474.14
7,6.8299,6.0545,0.2712,0.0909,1458.0
8,6.6944,6.1285,0.2328,0.0842,1459.67
9,6.7424,6.0293,0.2134,0.0734,1468.79
10,6.5923,5.6698,0.2663,0.0986,1451.96
11,6.5203,5.6295,0.3382,0.1288,1456.75
12,6.4115,5.654,0.3331,0.127,1450.82
13,6.3589,5.8977,0.1904,0.0652,1466.39
14,6.2921,5.747,0.3964,0.1509,1447.18
15,7.1458,6.9612,0.2261,0.0846,1460.43
16,6.6924,5.6899,0.3731,0.1465,1414.4
17,6.4633,5.6835,0.3244,0.124,1435.3
18,6.4236,5.5308,0.4232,0.1711,1396.76
19,6.3188,5.5234,0.4315,0.1875,1408.53
20,6.2164,5.6839,0.4106,0.1531,1421.34
21,6.1641,5.6711,0.4256,0.1593,1426.65
22,6.045,5.4762,0.4857,0.1945,1412.44
23,6.0255,5.5528,0.4333,0.1757,1410.54
24,5.9734,5.6006,0.4232,0.1715,1410.62
25,5.9794,5.3759,0.5188,0.2255,1404.49
26,5.8937,5.601,0.3699,0.1438,1408.76
27,5.8918,5.5101,0.4859,0.2064,1400.73
28,5.8346,5.4665,0.4315,0.1944,1412.09
29,5.8401,5.5942,0.432,0.17,1404.4
30,6.2803,5.7445,0.445,0.1778,1480.06
31,6.0024,6.1969,0.2556,0.1026,1434.09
32,5.8568,5.463,0.4332,0.1824,1421.28
33,5.8217,5.4046,0.4647,0.2024,1419.24
34,5.7675,5.2518,0.5277,0.2324,1406.94
35,5.7123,5.2448,0.5214,0.2261,1410.18
36,5.7119,5.2315,0.4854,0.216,1409.39
37,5.7091,5.3007,0.4948,0.2194,1428.75
38,5.6374,5.2279,0.5522,0.241,1410.19
39,5.6089,5.6014,0.3851,0.1498,1445.54
40,5.6312,5.2005,0.5163,0.2256,1420.6
41,5.5667,5.2059,0.538,0.2364,1408.07
42,5.583,5.3122,0.4761,0.1944,1438.37
43,5.5278,5.2837,0.4823,0.192,1436.95
44,5.5,5.2005,0.5322,0.2317,1443.93
45,5.8273,5.3969,0.5098,0.2191,1502.49
46,5.6363,5.3284,0.5364,0.2299,1453.5
47,5.5883,5.1695,0.5256,0.239,1435.45
48,5.5218,5.2879,0.5009,0.2085,1446.52
49,5.5229,5.278,0.5415,0.2294,1425.61
50,5.4483,5.1669,0.5481,0.2422,1444.73
51,5.4207,5.2871,0.4994,0.2117,1459.61
52,5.414,5.2607,0.5153,0.2211,1469.53
53,5.3989,5.1895,0.5498,0.2366,1476.76
54,5.362,5.0751,0.6031,0.2703,1463.67
55,5.3393,4.9865,0.5887,0.274,1463.27
56,5.3814,5.1539,0.5367,0.2306,1488.25
57,5.3536,5.1932,0.5846,0.2494,1481.54
58,5.3427,5.1736,0.4975,0.2142,1495.14
59,5.5228,5.1394,0.5643,0.2582,1471.43
60,5.4092,5.3582,0.4836,0.1992,1432.49
61,5.3788,5.1325,0.5564,0.2508,1428.24
62,5.3381,4.9463,0.5774,0.2647,1414.07
63,5.3281,5.0,0.5588,0.2593,1422.49
64,5.281,5.1329,0.535,0.2364,1460.19
65,5.3198,4.9285,0.5773,0.2665,1419.51
66,5.2712,5.0723,0.5479,0.237,1456.43
67,5.2336,4.9959,0.5621,0.2568,1429.13
68,5.2771,4.8623,0.5883,0.2801,1420.7
69,5.266,4.9112,0.6142,0.2811,1425.72
70,5.2465,5.0186,0.6067,0.2689,1434.85
71,5.2438,4.8303,0.6284,0.2993,1453.25
72,5.1989,4.8714,0.6403,0.3012,1466.5
73,5.3045,5.0526,0.555,0.249,1481.64
74,5.2651,4.8914,0.6134,0.2905,1415.78
75,5.1884,4.7565,0.6704,0.3272,1439.17
76,5.2419,4.6957,0.6867,0.343,1410.04
77,5.1957,4.7267,0.6461,0.32,1415.81
78,5.1801,4.7007,0.6937,0.3481,1406.65
79,5.1703,4.7157,0.6861,0.3465,1406.73
80,5.2026,4.7923,0.673,0.3301,1444.68
81,5.1818,4.7937,0.6799,0.335,1410.6
82,5.131,4.7936,0.6739,0.333,1405.63
83,5.1369,4.7358,0.682,0.342,1402.4
84,5.1419,4.7646,0.6736,0.3355,1418.52
85,5.159,4.7792,0.6779,0.3391,1411.62
86,5.1271,4.7121,0.6935,0.3496,1413.64
87,5.1306,4.7581,0.6817,0.34,1422.83
88,5.1802,4.7866,0.6785,0.332,1481.72
89,5.1221,4.742,0.6818,0.3401,1411.87
90,5.137,4.7596,0.6849,0.3408,1430.24
91,5.1534,4.721,0.692,0.3459,1418.52
92,5.075,4.7033,0.6927,0.3459,1434.48
93,5.1225,4.6929,0.6973,0.348,1422.0
94,5.1387,4.6905,0.6973,0.3468,1415.06
95,5.0932,4.694,0.6951,0.3456,1435.37
96,5.0928,4.6905,0.697,0.3465,1419.84
97,5.1128,4.6973,0.6953,0.3443,1415.85
98,5.1056,4.6949,0.6954,0.3454,1453.87
99,5.1143,4.6867,0.6975,0.3476,1439.28
100,5.1193,4.6877,0.6967,0.3467,1429.46
